statename,NAMEID,type,zri_up_st,quint
TX,marblefalls,city,0.9552267,5
TX,mcallen,city,-1.41765,1
TX,mckinney,city,1.664329,5
TX,meadowsplace,city,-1.118479,1
TX,mesquite,city,1.101346,5
TX,midlothian,city,0.9780531,5
TX,missouri,city,-0.6319046,2
TX,montbelvieu,city,-0.2825861,3
TX,montgomery,city,-2.141976,1
TX,morganspoint,city,-1.791575,1
TX,mountpleasant,city,-0.8986307,2
TX,nacogdoches,city,-1.099873,1
TX,nassaubay,city,-1.196131,1
TX,nederland,city,-0.5202251,2
TX,needville,city,-1.721346,1
TX,oakridgenorth,city,-1.368123,1
TX,oystercreek,city,-1.702763,1
TX,panorama,city,-2.845015,1
TX,pasadena,city,-0.4582092,2
TX,pearland,city,0.8366756,4
TX,pearsall,city,-0.432892,2
TX,pflugerville,city,1.249063,5
TX,pharr,city,0.2417838,4
TX,pineypoint,city,-2.147942,1
TX,plainview,city,-0.5158523,2
TX,plano,city,1.017103,5
TX,pleak,village,-0.4846163,2
TX,portland,city,-1.145036,1
TX,prairieview,city,-0.8670022,2
TX,quintana,town,-3.306538,1
TX,richardson,city,-0.7979033,2
TX,richlandhills,city,0.4847305,4
TX,richmond,city,1.247199,5
TX,richwood,city,0.525325,4
TX,rockdale,city,-0.1162034,3
TX,rockport,city,-1.362739,1
TX,rockwall,city,0.6998501,4
TX,romanforest,city,-3.011974,1
TX,rosenberg,city,-0.1455042,3
TX,roundrock,city,1.125135,5
TX,royse,city,0.1271088,3
TX,sachse,city,-1.377464,1
TX,saginaw,city,-0.3979686,2
TX,sanantonio,city,2.053748,5
TX,sanjuan,city,-1.876059,1
TX,sansompark,city,-1.211256,1
TX,santafe,city,-0.7539541,2
TX,schertz,city,0.1071779,3
TX,seabrook,city,-0.1607137,3
TX,seagoville,city,-0.8484629,2
TX,sealy,city,0.2788152,4
TX,seguin,city,0.8157813,4
TX,seymour,city,-0.9467932,1
TX,shenandoah,city,1.342556,5
TX,shoreacres,city,-2.050613,1
TX,simonton,city,-1.984236,1
TX,slaton,city,-2.198837,1
TX,southhouston,city,-1.865855,1
TX,splendora,city,-1.551013,1
TX,springvalley,city,-2.060539,1
TX,stafford,city,0.2699754,4
TX,stephenville,city,-0.4949445,2
TX,sugarland,city,-0.138402,3
TX,surfsidebeach,city,-2.959694,1
TX,sweeny,city,-0.6827668,2
TX,sweetwater,city,-1.683077,1
TX,taft,city,-1.808554,1
TX,taylorlake,city,-1.976479,1
TX,temple,city,1.122104,5
TX,texas,city,-0.6634038,2
TX,tikiisland,village,-2.3227,1
TX,tomball,city,0.01798646,3
TX,tyler,city,-0.5315428,2
TX,universitypark,city,-0.3243348,3
TX,vernon,city,-1.43644,1
TX,waller,city,-2.443621,1
TX,waxahachie,city,1.219065,5
TX,weatherford,city,-0.7229356,2
TX,webster,city,-3.097522,1
TX,weslaco,city,-1.238489,1
TX,westcolumbia,city,-2.39928,1
TX,westuniversityplace,city,-2.044348,1
TX,whitesboro,city,-1.508686,1
TX,wichitafalls,city,0.09131794,3
TX,willis,city,-0.5704643,2
TX,willspoint,city,-1.224286,1
TX,wylie,city,-0.1574071,3
TX,yoakum,city,-0.7746006,2
