GEOID,xsite,renter.hh,num_filings,num_filings_hist_avg,filing_rate,filing_rate_hist_avg,quartile_current,quartile_historical
12057004200,TAMPA,221,6,12.25,2.993807330043335,5.542986425339366,3,3
12057004300,TAMPA,732,8,13.75,1.2051574133689928,1.8784153005464481,1,1
12057004400,TAMPA,470,20,30.75,4.692421418011185,6.542553191489362,3,4
12057004500,TAMPA,525,19,22,3.990792691699036,4.190476190476191,3,3
12057004600,TAMPA,1999,51,50.5,2.8133402048456255,2.526263131565783,2,2
12057004700,TAMPA,705,14,13.75,2.1897966617385527,1.950354609929078,2,1
12057004800,TAMPA,728,14,22.25,2.1206135254473626,3.056318681318681,2,2
12057004900,TAMPA,1637,17,33.25,1.14515721227579,2.0311545510079414,1,1
12057005000,TAMPA,1281,20,35,1.7216534476699896,2.73224043715847,2,2
12057005101,TAMPA,876,45,27.5,5.66465256797583,3.1392694063926943,4,2
12057005102,TAMPA,819,23,28.25,3.096768957796148,3.4493284493284495,3,2
12057005301,TAMPA,1606,31,50.25,2.1285361164515244,3.1288916562889164,2,2
12057005302,TAMPA,457,22,23.5,5.3084942518857385,5.142231947483588,4,3
12057005401,TAMPA,832,7,7.25,0.927768417383221,0.8713942307692307,1,1
12057005500,TAMPA,878,4,7,0.502377691677735,0.7972665148063781,1,1
12057005700,TAMPA,1376,14,12.5,1.1219525047424999,0.9084302325581395,1,1
12057005800,TAMPA,517,17,13.75,3.6259620048268246,2.6595744680851063,3,2
12057005900,TAMPA,460,2,5,0.47944305792722974,1.0869565217391304,1,1
12057006000,TAMPA,709,11,12.75,1.7108475832946282,1.7983074753173485,2,1
12057006101,TAMPA,584,2,3,0.377643504531722,0.5136986301369864,1,1
12057006103,TAMPA,910,7,6.25,0.848245410178945,0.6868131868131868,1,1
12057006200,TAMPA,301,1,2.75,0.3663518382832653,0.9136212624584718,1,1
12057006300,TAMPA,163,1,3.25,0.676514744314496,1.9938650306748467,1,1
12057006400,TAMPA,126,2,2.5,1.7503476717978228,1.9841269841269842,2,1
12057006501,TAMPA,880,13,15,1.6290167536391102,1.7045454545454546,1,1
12057006502,TAMPA,934,15,3,1.7709620448061483,0.32119914346895073,2,1
12057006600,TAMPA,1126,13,12,1.2731214415652017,1.0657193605683837,1,1
12057006700,TAMPA,570,4,8.75,0.7738379180579849,1.5350877192982457,1,1
12057006801,TAMPA,1017,45,52.75,4.879287757666497,5.186823992133727,3,3
12057006802,TAMPA,501,12,5.5,2.6412431933715648,1.0978043912175648,2,1
12057006900,TAMPA,763,22,33.5,3.179530633174027,4.3905635648754915,3,3
12057007001,TAMPA,563,32,27,6.26767478924407,4.7957371225577266,4,3
12057007002,TAMPA,985,50,32.5,5.597558544328063,3.299492385786802,4,2
12057007102,TAMPA,1150,20,16.5,1.917772231708919,1.434782608695652,2,1
12057007103,TAMPA,547,18,16.25,3.628691517036072,2.9707495429616086,3,2
12057007200,TAMPA,1014,27,28,2.9362341121578863,2.7613412228796843,2,2
12057007300,TAMPA,563,0,0,0,0,1,1
12057010103,TAMPA,264,7,11.25,2.923876224480454,4.261363636363637,2,3
12057010105,TAMPA,358,8,11.5,2.4641766105757057,3.212290502793296,2,2
12057010106,TAMPA,399,8,8.75,2.210965480165671,2.192982456140351,2,1
12057010107,TAMPA,276,8,16.5,3.196287052848198,5.978260869565218,3,4
