GEOID,source
30061,0
30015,0
49043,3
49003,3
49051,3
49005,3
49001,2
49047,3
49019,2
1025,3
1039,3
1099,3
1005,3
1085,3
1051,3
36075,3
36069,3
36117,3
36051,3
36027,3
36077,3
36113,3
36009,3
48113,3
48085,0
48453,3
48181,3
48141,0
48039,3
48409,3
48199,3
6101,3
6027,2
6109,3
36013,3
6011,3
6057,3
36017,3
6015,3
8005,0
12095,0
12101,0
12071,3
12105,3
8051,0
9011,3
10001,3
11001,3
8113,0
12009,0
12097,3
12063,3
12017,3
12015,3
42089,0
12049,3
12077,3
12013,3
12047,3
12129,3
29095,0
29033,2
29029,3
29123,2
29023,3
29103,1
29171,1
29157,3
29003,2
25017,3
26003,2
26063,2
26129,3
26109,3
26073,3
26055,3
26013,2
26141,2
48063,3
48115,3
48287,3
27075,0
72147,0
72047,0
72141,0
72031,0
72039,0
72033,0
4009,0
4007,0
4021,0
15009,3
15007,3
16039,3
27137,0
27061,0
27145,0
27103,0
27127,0
27097,0
27089,0
27147,0
27031,0
27011,0
38105,2
38019,2
22069,3
22063,3
22099,3
22015,3
22127,2
22079,3
22091,3
22115,3
22001,3
22045,3
22025,2
22047,3
38099,2
38071,2
38031,2
38085,2
54013,2
54007,3
22081,2
28045,3
48407,3
48387,3
48055,3
45035,3
45083,0
45073,3
45047,3
45079,0
45031,3
45057,3
45055,3
45049,3
45067,3
21065,3
22055,0
47003,3
47035,3
47053,3
47159,2
47165,3
47149,3
46123,1
46093,3
46071,1
46075,0
47065,3
47089,3
47005,2
47185,3
47041,2
47001,3
47029,3
47145,3
47009,3
47147,3
47141,3
47043,3
47011,3
46085,1
47091,2
20001,3
47135,2
47183,3
47143,3
47127,1
47175,3
56033,0
56003,0
54107,3
54059,3
54011,3
54067,3
54083,3
54003,3
54053,3
54041,3
54073,2
54027,3
13219,2
13237,2
4012,0
13201,1
51149,3
51157,2
51067,3
51087,3
51017,1
51141,2
51177,3
51037,2
51109,3
51101,2
51033,3
51181,2
51678,2
13135,3
13103,3
13067,3
13089,0
13153,3
13229,2
13077,3
13317,2
13217,3
13019,3
19195,0
19029,0
20169,3
21203,3
21193,3
21069,3
21183,3
21175,2
20105,1
21063,2
17097,3
39035,0
39075,0
39095,0
6071,3
6041,3
