zip,xsite,eviction_count,fully_vaccinated
76179,FORTWORTH,161,21718
77036,HOUSTON,688,19507
77091,HOUSTON,187,7118
77011,HOUSTON,107,6251
77037,HOUSTON,47,5238
77336,HOUSTON,36,3238
75001,DALLAS,212,7247
75254,DALLAS,306,8625
75214,DALLAS,236,18199
75249,DALLAS,42,4734
76020,FORTWORTH,74,9597
76111,FORTWORTH,81,6581
85086,PHOENIX,94,18242
75208,DALLAS,150,12858
77092,HOUSTON,274,10159
76208,FORTWORTH,80,9464
75246,DALLAS,36,1046
76262,FORTWORTH,85,16914
77075,HOUSTON,177,13379
75240,DALLAS,224,8247
76226,FORTWORTH,21,15240
75081,DALLAS,186,16161
75040,DALLAS,158,23318
46530,SOUTH BEND,26,16786
75287,FORTWORTH,628,17633
77059,HOUSTON,11,10261
75061,DALLAS,298,14532
76054,FORTWORTH,18,5811
77587,HOUSTON,58,4854
46561,SOUTH BEND,16,4954
76180,FORTWORTH,216,12676
77536,HOUSTON,62,10322
77547,HOUSTON,27,2690
76110,FORTWORTH,119,10343
75042,DALLAS,147,12284
76017,FORTWORTH,146,17297
76148,FORTWORTH,41,7701
75077,FORTWORTH,65,17393
76106,FORTWORTH,142,9130
75201,DALLAS,239,10604
46552,SOUTH BEND,12,2507
85257,PHOENIX,163,15167
75051,DALLAS,171,9843
76258,FORTWORTH,23,2205
46637,SOUTH BEND,56,8207
75209,DALLAS,66,7430
77023,HOUSTON,135,9851
75218,DALLAS,86,11409
77024,HOUSTON,133,28734
77027,HOUSTON,165,13572
75089,DALLAS,40,13653
75060,DALLAS,130,14511
76018,FORTWORTH,67,9844
77450,HOUSTON,177,30533
77009,HOUSTON,142,16133
77447,HOUSTON,24,5420
76244,FORTWORTH,125,27268
76039,FORTWORTH,209,15727
76115,FORTWORTH,72,5259
77055,HOUSTON,209,15570
75154,DALLAS,63,13691
77041,HOUSTON,68,15298
77012,HOUSTON,82,5510
77094,HOUSTON,15,5734
77083,HOUSTON,189,30318
85250,PHOENIX,60,10176
75220,DALLAS,230,11043
75219,DALLAS,249,15525
77030,HOUSTON,68,16990
76107,FORTWORTH,164,14678
78669,AUSTIN,11,5066
76051,FORTWORTH,216,22418
76021,FORTWORTH,150,15171
76201,FORTWORTH,171,9523
77377,HOUSTON,48,14246
76210,FORTWORTH,80,18152
75251,DALLAS,37,1724
75248,DALLAS,162,18019
75229,DALLAS,63,14651
76131,FORTWORTH,70,16287
85268,PHOENIX,51,15430
85258,PHOENIX,77,17221
85390,PHOENIX,21,4372
76016,FORTWORTH,45,14065
78723,AUSTIN,142,15708
78725,AUSTIN,9,4082
75204,DALLAS,268,15735
75006,DALLAS,172,18336
75207,DALLAS,32,2509
77098,HOUSTON,107,9922
76102,FORTWORTH,45,3999
75235,DALLAS,106,8831
77006,HOUSTON,149,14123
78734,AUSTIN,25,11189
85310,PHOENIX,19,9024
78660,AUSTIN,137,45590
85351,PHOENIX,45,22166
78653,AUSTIN,21,11103
75063,DALLAS,159,23345
76034,FORTWORTH,6,14252
46635,SOUTH BEND,8,3150
77081,HOUSTON,272,11504
78739,AUSTIN,5,11674
78724,AUSTIN,36,8196
85120,PHOENIX,42,14129
75028,FORTWORTH,40,23450
77062,HOUSTON,28,11718
77053,HOUSTON,42,10064
76092,FORTWORTH,8,16316
75039,DALLAS,115,12263
