position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
44,2025-03-01,2026-02-28,"LLLP, N/A LADERA VISTA-87",3608 LADERA DR NW,33,0.496,35.123773,-106.708452
45,2025-03-01,2026-02-28,AP SKYLINE ROAD LLC,12021 SKYLINE RD NE,32,0.496,35.073513,-106.511648
46,2025-03-01,2026-02-28,"LLLP, VALLE DE ATRISCO",9901 CEJA VISTA RD SW,32,0.496,35.023026,-106.743374
47,2025-03-01,2026-02-28,MFT MESA VERDE LLC,1501 TRAMWAY BLVD NE,32,0.496,35.091982,-106.499123
48,2025-03-01,2026-02-28,FSC ARROYO VILLAS LLC,4701 IRVING BLVD NW,31,0.496,35.201929,-106.681462
49,2025-03-01,2026-02-28,CESAR CHAVEZ FOUNDATION,1200 DICKERSON DR SE,31,0.496,35.067418,-106.619918
50,2025-03-01,2026-02-28,8000 MONTGOMERY BLVD FEE OWNER LLC,8000 MONTGOMERY BLVD NE,31,0.496,35.127691,-106.554813
51,2025-03-01,2026-02-28,2500 ALBUQUERQUE HOLDINGS LLC,2500 UNIVERSITY BLVD NE,31,0.496,35.11172,-106.622534
52,2025-03-01,2026-02-28,1501 INDIAN SCHOOL (ABQ) LLC,1501 INDIAN SCHOOL RD NE,30,0.496,35.098909,-106.629711
53,2025-03-01,2026-02-28,CWR RESIDENTIAL LTD,10001 COORS BYP NW,30,0.496,35.19705,-106.660031
54,2025-03-01,2026-02-28,CLEAR SKY CAPITAL SILVERADO APARTMENTS LP,5741 OSUNA RD NE,30,0.496,35.146006,-106.584203
55,2025-03-01,2026-02-28,TIERRA WEST MHC LLC,224 ATRISCO VISTA BLVD SW,30,0.496,35.05421,-106.782586
