type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,51001090500,03/2022,0,0,2023-01-07
Census Tract,51001090500,04/2022,0,0,2023-01-07
Census Tract,51001090500,05/2022,0,0,2023-01-07
Census Tract,51001090500,06/2022,0,0,2023-01-07
Census Tract,51001090500,07/2022,0,0,2023-01-07
Census Tract,51001090500,08/2022,0,0,2023-01-07
Census Tract,51001090500,09/2022,0,0,2023-01-07
Census Tract,51001090500,10/2022,0,0,2023-01-07
Census Tract,51001090500,11/2022,0,0,2023-01-07
Census Tract,51001090500,12/2022,0,0,2023-01-07
Census Tract,51001090500,01/2023,0,0,2023-01-07
Census Tract,51001090600,01/2020,0,0,2023-01-07
Census Tract,51001090600,02/2020,0,0,2023-01-07
Census Tract,51001090600,03/2020,0,0,2023-01-07
Census Tract,51001090600,04/2020,0,0,2023-01-07
Census Tract,51001090600,05/2020,0,0,2023-01-07
Census Tract,51001090600,06/2020,0,0,2023-01-07
Census Tract,51001090600,07/2020,0,0,2023-01-07
Census Tract,51001090600,08/2020,0,0,2023-01-07
Census Tract,51001090600,09/2020,0,0,2023-01-07
Census Tract,51001090600,10/2020,0,0,2023-01-07
Census Tract,51001090600,11/2020,0,0,2023-01-07
Census Tract,51001090600,12/2020,0,0,2023-01-07
Census Tract,51001090600,01/2021,0,0,2023-01-07
Census Tract,51001090600,02/2021,0,0,2023-01-07
Census Tract,51001090600,03/2021,0,0,2023-01-07
Census Tract,51001090600,04/2021,0,0,2023-01-07
Census Tract,51001090600,05/2021,0,0,2023-01-07
Census Tract,51001090600,06/2021,0,0,2023-01-07
Census Tract,51001090600,07/2021,0,0,2023-01-07
Census Tract,51001090600,08/2021,0,0,2023-01-07
Census Tract,51001090600,09/2021,0,0,2023-01-07
Census Tract,51001090600,10/2021,0,0,2023-01-07
Census Tract,51001090600,11/2021,0,0,2023-01-07
Census Tract,51001090600,12/2021,0,0,2023-01-07
Census Tract,51001090600,01/2022,0,0,2023-01-07
Census Tract,51001090600,02/2022,0,0,2023-01-07
Census Tract,51001090600,03/2022,0,0,2023-01-07
Census Tract,51001090600,04/2022,0,0,2023-01-07
Census Tract,51001090600,05/2022,0,0,2023-01-07
Census Tract,51001090600,06/2022,0,0,2023-01-07
Census Tract,51001090600,07/2022,0,0,2023-01-07
Census Tract,51001090600,08/2022,0,0,2023-01-07
Census Tract,51001090600,09/2022,0,0,2023-01-07
Census Tract,51001090600,10/2022,0,0,2023-01-07
Census Tract,51001090600,11/2022,0,0,2023-01-07
Census Tract,51001090600,12/2022,0,0,2023-01-07
Census Tract,51001090600,01/2023,0,0,2023-01-07
Census Tract,51001090700,01/2020,0,0,2023-01-07
Census Tract,51001090700,02/2020,0,0,2023-01-07
Census Tract,51001090700,03/2020,0,0,2023-01-07
Census Tract,51001090700,04/2020,0,0,2023-01-07
Census Tract,51001090700,05/2020,0,0,2023-01-07
Census Tract,51001090700,06/2020,0,0,2023-01-07
Census Tract,51001090700,07/2020,0,0,2023-01-07
Census Tract,51001090700,08/2020,0,0,2023-01-07
Census Tract,51001090700,09/2020,0,0,2023-01-07
Census Tract,51001090700,10/2020,0,0,2023-01-07
Census Tract,51001090700,11/2020,0,0,2023-01-07
Census Tract,51001090700,12/2020,0,0,2023-01-07
Census Tract,51001090700,01/2021,0,0,2023-01-07
Census Tract,51001090700,02/2021,0,0,2023-01-07
Census Tract,51001090700,03/2021,0,0,2023-01-07
Census Tract,51001090700,04/2021,0,0,2023-01-07
Census Tract,51001090700,05/2021,0,0,2023-01-07
Census Tract,51001090700,06/2021,0,0,2023-01-07
Census Tract,51001090700,07/2021,0,0,2023-01-07
Census Tract,51001090700,08/2021,0,0,2023-01-07
Census Tract,51001090700,09/2021,0,0,2023-01-07
Census Tract,51001090700,10/2021,0,0,2023-01-07
Census Tract,51001090700,11/2021,0,0,2023-01-07
Census Tract,51001090700,12/2021,0,0,2023-01-07
Census Tract,51001090700,01/2022,0,0,2023-01-07
Census Tract,51001090700,02/2022,0,0,2023-01-07
Census Tract,51001090700,03/2022,0,0,2023-01-07
Census Tract,51001090700,04/2022,0,0,2023-01-07
Census Tract,51001090700,05/2022,0,0,2023-01-07
Census Tract,51001090700,06/2022,0,0,2023-01-07
Census Tract,51001090700,07/2022,0,0,2023-01-07
Census Tract,51001090700,08/2022,0,0,2023-01-07
Census Tract,51001090700,09/2022,0,0,2023-01-07
Census Tract,51001090700,10/2022,0,0,2023-01-07
Census Tract,51001090700,11/2022,0,0,2023-01-07
Census Tract,51001090700,12/2022,0,0,2023-01-07
Census Tract,51001090700,01/2023,0,0,2023-01-07
Census Tract,51001090800,01/2020,0,0,2023-01-07
Census Tract,51001090800,02/2020,0,0,2023-01-07
Census Tract,51001090800,03/2020,0,0,2023-01-07
Census Tract,51001090800,04/2020,0,0,2023-01-07
Census Tract,51001090800,05/2020,0,0,2023-01-07
Census Tract,51001090800,06/2020,0,0,2023-01-07
Census Tract,51001090800,07/2020,0,0,2023-01-07
Census Tract,51001090800,08/2020,0,0,2023-01-07
Census Tract,51001090800,09/2020,0,0,2023-01-07
Census Tract,51001090800,10/2020,0,0,2023-01-07
Census Tract,51001090800,11/2020,0,0,2023-01-07
Census Tract,51001090800,12/2020,0,0,2023-01-07
Census Tract,51001090800,01/2021,0,0,2023-01-07
Census Tract,51001090800,02/2021,0,0,2023-01-07
Census Tract,51001090800,03/2021,0,0,2023-01-07
Census Tract,51001090800,04/2021,0,0,2023-01-07
Census Tract,51001090800,05/2021,0,0,2023-01-07
Census Tract,51001090800,06/2021,0,0,2023-01-07
Census Tract,51001090800,07/2021,0,0,2023-01-07
Census Tract,51001090800,08/2021,0,0,2023-01-07
Census Tract,51001090800,09/2021,0,0,2023-01-07
Census Tract,51001090800,10/2021,0,0,2023-01-07
Census Tract,51001090800,11/2021,0,0,2023-01-07
Census Tract,51001090800,12/2021,0,0,2023-01-07
Census Tract,51001090800,01/2022,0,0,2023-01-07
Census Tract,51001090800,02/2022,0,0,2023-01-07
Census Tract,51001090800,03/2022,0,0,2023-01-07
Census Tract,51001090800,04/2022,0,0,2023-01-07
Census Tract,51001090800,05/2022,0,0,2023-01-07
Census Tract,51001090800,06/2022,0,0,2023-01-07
Census Tract,51001090800,07/2022,0,0,2023-01-07
Census Tract,51001090800,08/2022,0,0,2023-01-07
Census Tract,51001090800,09/2022,0,0,2023-01-07
Census Tract,51001090800,10/2022,0,0,2023-01-07
Census Tract,51001090800,11/2022,0,0,2023-01-07
Census Tract,51001090800,12/2022,0,0,2023-01-07
Census Tract,51001090800,01/2023,0,0,2023-01-07
Census Tract,51001980100,01/2020,0,0,2023-01-07
Census Tract,51001980100,02/2020,0,0,2023-01-07
Census Tract,51001980100,03/2020,0,0,2023-01-07
Census Tract,51001980100,04/2020,0,0,2023-01-07
Census Tract,51001980100,05/2020,0,0,2023-01-07
Census Tract,51001980100,06/2020,0,0,2023-01-07
Census Tract,51001980100,07/2020,0,0,2023-01-07
Census Tract,51001980100,08/2020,0,0,2023-01-07
Census Tract,51001980100,09/2020,0,0,2023-01-07
Census Tract,51001980100,10/2020,0,0,2023-01-07
Census Tract,51001980100,11/2020,0,0,2023-01-07
Census Tract,51001980100,12/2020,0,0,2023-01-07
Census Tract,51001980100,01/2021,0,0,2023-01-07
Census Tract,51001980100,02/2021,0,0,2023-01-07
Census Tract,51001980100,03/2021,0,0,2023-01-07
Census Tract,51001980100,04/2021,0,0,2023-01-07
Census Tract,51001980100,05/2021,0,0,2023-01-07
