type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,35001000111,10/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000111,11/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000111,12/2021,0,0,2022-02-12
Census Tract,35001000111,01/2022,0,1,2022-02-12
Census Tract,35001000111,02/2022,0,0,2022-02-12
Census Tract,35001000112,01/2020,0,0,2022-02-12
Census Tract,35001000112,02/2020,1,0.333333333333333,2022-02-12
Census Tract,35001000112,03/2020,1,2.33333333333333,2022-02-12
Census Tract,35001000112,04/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000112,05/2020,1,0.333333333333333,2022-02-12
Census Tract,35001000112,06/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000112,07/2020,0,0.666666666666667,2022-02-12
Census Tract,35001000112,08/2020,1,0.333333333333333,2022-02-12
Census Tract,35001000112,09/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000112,10/2020,0,0,2022-02-12
Census Tract,35001000112,11/2020,0,0,2022-02-12
Census Tract,35001000112,12/2020,0,0.333333333333333,2022-02-12
Census Tract,35001000112,01/2021,0,0,2022-02-12
Census Tract,35001000112,02/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000112,03/2021,0,2.33333333333333,2022-02-12
Census Tract,35001000112,04/2021,1,0.333333333333333,2022-02-12
Census Tract,35001000112,05/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000112,06/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000112,07/2021,0,0.666666666666667,2022-02-12
Census Tract,35001000112,08/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000112,09/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000112,10/2021,0,0,2022-02-12
Census Tract,35001000112,11/2021,0,0,2022-02-12
Census Tract,35001000112,12/2021,0,0.333333333333333,2022-02-12
Census Tract,35001000112,01/2022,0,0,2022-02-12
Census Tract,35001000112,02/2022,1,0,2022-02-12
Census Tract,35001000113,01/2020,3,4,2022-02-12
Census Tract,35001000113,02/2020,0,2,2022-02-12
Census Tract,35001000113,03/2020,0,3,2022-02-12
Census Tract,35001000113,04/2020,2,2.33333333333333,2022-02-12
Census Tract,35001000113,05/2020,0,2.33333333333333,2022-02-12
Census Tract,35001000113,06/2020,1,4,2022-02-12
Census Tract,35001000113,07/2020,1,1.66666666666667,2022-02-12
Census Tract,35001000113,08/2020,4,2.33333333333333,2022-02-12
Census Tract,35001000113,09/2020,0,1.66666666666667,2022-02-12
Census Tract,35001000113,10/2020,1,1,2022-02-12
Census Tract,35001000113,11/2020,5,3.33333333333333,2022-02-12
Census Tract,35001000113,12/2020,2,1.66666666666667,2022-02-12
Census Tract,35001000113,01/2021,1,4,2022-02-12
Census Tract,35001000113,02/2021,0,2,2022-02-12
Census Tract,35001000113,03/2021,0,3,2022-02-12
Census Tract,35001000113,04/2021,4,2.33333333333333,2022-02-12
Census Tract,35001000113,05/2021,0,2.33333333333333,2022-02-12
Census Tract,35001000113,06/2021,0,4,2022-02-12
Census Tract,35001000113,07/2021,0,1.66666666666667,2022-02-12
Census Tract,35001000113,08/2021,2,2.33333333333333,2022-02-12
Census Tract,35001000113,09/2021,1,1.66666666666667,2022-02-12
Census Tract,35001000113,10/2021,2,1,2022-02-12
Census Tract,35001000113,11/2021,3,3.33333333333333,2022-02-12
Census Tract,35001000113,12/2021,1,1.66666666666667,2022-02-12
Census Tract,35001000113,01/2022,2,4,2022-02-12
Census Tract,35001000113,02/2022,2,0,2022-02-12
Census Tract,35001000114,01/2020,2,3,2022-02-12
Census Tract,35001000114,02/2020,3,1.66666666666667,2022-02-12
Census Tract,35001000114,03/2020,2,0.333333333333333,2022-02-12
Census Tract,35001000114,04/2020,1,1.33333333333333,2022-02-12
Census Tract,35001000114,05/2020,2,2.66666666666667,2022-02-12
Census Tract,35001000114,06/2020,1,3,2022-02-12
Census Tract,35001000114,07/2020,1,3.66666666666667,2022-02-12
Census Tract,35001000114,08/2020,2,1.66666666666667,2022-02-12
Census Tract,35001000114,09/2020,0,1.33333333333333,2022-02-12
Census Tract,35001000114,10/2020,0,1.66666666666667,2022-02-12
Census Tract,35001000114,11/2020,1,2.33333333333333,2022-02-12
Census Tract,35001000114,12/2020,0,2.33333333333333,2022-02-12
Census Tract,35001000114,01/2021,1,3,2022-02-12
Census Tract,35001000114,02/2021,2,1.66666666666667,2022-02-12
Census Tract,35001000114,03/2021,1,0.333333333333333,2022-02-12
Census Tract,35001000114,04/2021,1,1.33333333333333,2022-02-12
Census Tract,35001000114,05/2021,2,2.66666666666667,2022-02-12
Census Tract,35001000114,06/2021,0,3,2022-02-12
Census Tract,35001000114,07/2021,1,3.66666666666667,2022-02-12
Census Tract,35001000114,08/2021,0,1.66666666666667,2022-02-12
Census Tract,35001000114,09/2021,1,1.33333333333333,2022-02-12
Census Tract,35001000114,10/2021,0,1.66666666666667,2022-02-12
Census Tract,35001000114,11/2021,0,2.33333333333333,2022-02-12
Census Tract,35001000114,12/2021,0,2.33333333333333,2022-02-12
Census Tract,35001000114,01/2022,3,3,2022-02-12
Census Tract,35001000114,02/2022,1,0.333333333333333,2022-02-12
Census Tract,35001000115,01/2020,2,9.66666666666667,2022-02-12
Census Tract,35001000115,02/2020,3,5.33333333333333,2022-02-12
Census Tract,35001000115,03/2020,6,3.66666666666667,2022-02-12
Census Tract,35001000115,04/2020,2,6.33333333333333,2022-02-12
Census Tract,35001000115,05/2020,0,9.66666666666667,2022-02-12
