type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,10001040203,33,2020-08-09,0,0.25,2021-07-24
Census Tract,10001040203,34,2020-08-16,0,3.25,2021-07-24
Census Tract,10001040203,35,2020-08-23,0,1.25,2021-07-24
Census Tract,10001040203,36,2020-08-30,0,0.25,2021-07-24
Census Tract,10001040203,37,2020-09-06,0,1.25,2021-07-24
Census Tract,10001040203,38,2020-09-13,0,5.75,2021-07-24
Census Tract,10001040203,39,2020-09-20,1,1.75,2021-07-24
Census Tract,10001040203,40,2020-09-27,0,0.5,2021-07-24
Census Tract,10001040203,41,2020-10-04,1,1.5,2021-07-24
Census Tract,10001040203,42,2020-10-11,0,0.5,2021-07-24
Census Tract,10001040203,43,2020-10-18,0,5.5,2021-07-24
Census Tract,10001040203,44,2020-10-25,0,2.25,2021-07-24
Census Tract,10001040203,45,2020-11-01,1,1,2021-07-24
Census Tract,10001040203,46,2020-11-08,1,0,2021-07-24
Census Tract,10001040203,47,2020-11-15,0,5.75,2021-07-24
Census Tract,10001040203,48,2020-11-22,0,0.75,2021-07-24
Census Tract,10001040203,49,2020-11-29,0,0.75,2021-07-24
Census Tract,10001040203,50,2020-12-06,1,0,2021-07-24
Census Tract,10001040203,51,2020-12-13,0,0.75,2021-07-24
Census Tract,10001040203,52,2020-12-20,0,1.25,2021-07-24
Census Tract,10001040203,53,2020-12-27,1,0.75,2021-07-24
Census Tract,10001040203,54,2021-01-03,0,1.25,2021-07-24
Census Tract,10001040203,55,2021-01-10,1,1.25,2021-07-24
Census Tract,10001040203,56,2021-01-17,2,5.5,2021-07-24
Census Tract,10001040203,57,2021-01-24,0,2,2021-07-24
Census Tract,10001040203,58,2021-01-31,0,0.75,2021-07-24
Census Tract,10001040203,59,2021-02-07,1,1.75,2021-07-24
Census Tract,10001040203,60,2021-02-14,0,3,2021-07-24
Census Tract,10001040203,61,2021-02-21,1,3.5,2021-07-24
Census Tract,10001040203,62,2021-02-28,1,0.5,2021-07-24
Census Tract,10001040203,63,2021-03-07,0,0.5,2021-07-24
Census Tract,10001040203,64,2021-03-14,2,0.5,2021-07-24
Census Tract,10001040203,65,2021-03-21,0,0.75,2021-07-24
Census Tract,10001040203,66,2021-03-28,0,0.25,2021-07-24
Census Tract,10001040203,67,2021-04-04,1,0,2021-07-24
Census Tract,10001040203,68,2021-04-11,1,0.5,2021-07-24
Census Tract,10001040203,69,2021-04-18,0,1.75,2021-07-24
Census Tract,10001040203,70,2021-04-25,0,0.5,2021-07-24
Census Tract,10001040203,71,2021-05-02,2,1,2021-07-24
Census Tract,10001040203,72,2021-05-09,0,0.75,2021-07-24
Census Tract,10001040203,73,2021-05-16,0,2.25,2021-07-24
Census Tract,10001040203,74,2021-05-23,0,1,2021-07-24
Census Tract,10001040203,75,2021-05-30,2,0.5,2021-07-24
Census Tract,10001040203,76,2021-06-06,0,1,2021-07-24
Census Tract,10001040203,77,2021-06-13,0,1.75,2021-07-24
Census Tract,10001040203,78,2021-06-20,1,1.25,2021-07-24
Census Tract,10001040203,79,2021-06-27,1,2,2021-07-24
Census Tract,10001040203,80,2021-07-04,0,0.75,2021-07-24
Census Tract,10001040203,81,2021-07-11,3,0.75,2021-07-24
Census Tract,10001040203,82,2021-07-18,0,5.75,2021-07-24
Census Tract,10001040501,1,2019-12-29,0,1,2021-07-24
Census Tract,10001040501,2,2020-01-05,3,1,2021-07-24
Census Tract,10001040501,3,2020-01-12,7,6.25,2021-07-24
Census Tract,10001040501,4,2020-01-19,1,7,2021-07-24
Census Tract,10001040501,5,2020-01-26,1,4.5,2021-07-24
Census Tract,10001040501,6,2020-02-02,6,3.5,2021-07-24
Census Tract,10001040501,7,2020-02-09,0,2,2021-07-24
Census Tract,10001040501,8,2020-02-16,9,2.75,2021-07-24
Census Tract,10001040501,9,2020-02-23,0,1.5,2021-07-24
Census Tract,10001040501,10,2020-03-01,8,1,2021-07-24
Census Tract,10001040501,11,2020-03-08,0,2.25,2021-07-24
Census Tract,10001040501,12,2020-03-15,5,6.5,2021-07-24
Census Tract,10001040501,13,2020-03-22,2,2.25,2021-07-24
Census Tract,10001040501,14,2020-03-29,0,1.75,2021-07-24
