type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,47157000300,Black,04/2020,3,0.25,2025-03-15
Census Tract,47157000300,Black,05/2020,0,1.25,2025-03-15
Census Tract,47157000300,Black,06/2020,0,1,2025-03-15
Census Tract,47157000300,Black,07/2020,0,0.75,2025-03-15
Census Tract,47157000300,Black,08/2020,0,0.25,2025-03-15
Census Tract,47157000300,Black,09/2020,1,1.25,2025-03-15
Census Tract,47157000300,Black,10/2020,0,1.75,2025-03-15
Census Tract,47157000300,Black,11/2020,0,0.75,2025-03-15
Census Tract,47157000300,Black,12/2020,2,0.75,2025-03-15
Census Tract,47157000300,Black,01/2021,0,0.25,2025-03-15
Census Tract,47157000300,Black,02/2021,0,1,2025-03-15
Census Tract,47157000300,Black,03/2021,1,1.75,2025-03-15
Census Tract,47157000300,Black,04/2021,0,0.25,2025-03-15
Census Tract,47157000300,Black,05/2021,1,1.25,2025-03-15
Census Tract,47157000300,Black,06/2021,0,1,2025-03-15
Census Tract,47157000300,Black,07/2021,3,0.75,2025-03-15
Census Tract,47157000300,Black,08/2021,0,0.25,2025-03-15
Census Tract,47157000300,Black,09/2021,1,1.25,2025-03-15
Census Tract,47157000300,Black,10/2021,0,1.75,2025-03-15
Census Tract,47157000300,Black,11/2021,0,0.75,2025-03-15
Census Tract,47157000300,Black,12/2021,1,0.75,2025-03-15
Census Tract,47157000300,Black,01/2022,0,0.25,2025-03-15
Census Tract,47157000300,Black,02/2022,0,1,2025-03-15
Census Tract,47157000300,Black,03/2022,2,1.75,2025-03-15
Census Tract,47157000300,Black,04/2022,1,0.25,2025-03-15
Census Tract,47157000300,Black,05/2022,2,1.25,2025-03-15
Census Tract,47157000300,Black,06/2022,2,1,2025-03-15
Census Tract,47157000300,Black,07/2022,0,0.75,2025-03-15
Census Tract,47157000300,Black,08/2022,0,0.25,2025-03-15
Census Tract,47157000300,Black,09/2022,0,1.25,2025-03-15
Census Tract,47157000300,Black,10/2022,3,1.75,2025-03-15
Census Tract,47157000300,Black,11/2022,0,0.75,2025-03-15
Census Tract,47157000300,Black,12/2022,0,0.75,2025-03-15
Census Tract,47157000300,Black,01/2023,4,0.25,2025-03-15
Census Tract,47157000300,Black,02/2023,2,1,2025-03-15
Census Tract,47157000300,Black,03/2023,0,1.75,2025-03-15
Census Tract,47157000300,Black,04/2023,0,0.25,2025-03-15
Census Tract,47157000300,Black,05/2023,1,1.25,2025-03-15
Census Tract,47157000300,Black,06/2023,0,1,2025-03-15
Census Tract,47157000300,Black,07/2023,2,0.75,2025-03-15
Census Tract,47157000300,Black,08/2023,1,0.25,2025-03-15
Census Tract,47157000300,Black,09/2023,1,1.25,2025-03-15
Census Tract,47157000300,Black,10/2023,0,1.75,2025-03-15
Census Tract,47157000300,Black,11/2023,1,0.75,2025-03-15
Census Tract,47157000300,Black,12/2023,0,0.75,2025-03-15
Census Tract,47157000300,Black,01/2024,1,0.25,2025-03-15
Census Tract,47157000300,Black,02/2024,3,1,2025-03-15
Census Tract,47157000300,Black,03/2024,1,1.75,2025-03-15
Census Tract,47157000300,Black,04/2024,1,0.25,2025-03-15
Census Tract,47157000300,Black,05/2024,1,1.25,2025-03-15
Census Tract,47157000300,Black,06/2024,1,1,2025-03-15
Census Tract,47157000300,Black,07/2024,0,0.75,2025-03-15
Census Tract,47157000300,Black,08/2024,2,0.25,2025-03-15
Census Tract,47157000300,Black,09/2024,2,1.25,2025-03-15
Census Tract,47157000300,Black,10/2024,3,1.75,2025-03-15
Census Tract,47157000300,Black,11/2024,0,0.75,2025-03-15
Census Tract,47157000300,Black,12/2024,0,0.75,2025-03-15
Census Tract,47157000300,Black,01/2025,0,0.25,2025-03-15
Census Tract,47157000300,Black,02/2025,1,1,2025-03-15
Census Tract,47157000300,Black,03/2025,0,1.25,2025-03-15
Census Tract,47157000400,Black,01/2020,9,7.25,2025-03-15
Census Tract,47157000400,Black,02/2020,4,5,2025-03-15
Census Tract,47157000400,Black,03/2020,1,5.25,2025-03-15
Census Tract,47157000400,Black,04/2020,3,4.5,2025-03-15
Census Tract,47157000400,Black,05/2020,4,5.25,2025-03-15
Census Tract,47157000400,Black,06/2020,3,5.5,2025-03-15
Census Tract,47157000400,Black,07/2020,4,5.25,2025-03-15
Census Tract,47157000400,Black,08/2020,2,4.5,2025-03-15
Census Tract,47157000400,Black,09/2020,3,6.25,2025-03-15
Census Tract,47157000400,Black,10/2020,5,6.25,2025-03-15
Census Tract,47157000400,Black,11/2020,2,6.25,2025-03-15
Census Tract,47157000400,Black,12/2020,5,3.5,2025-03-15
Census Tract,47157000400,Black,01/2021,1,7.25,2025-03-15
Census Tract,47157000400,Black,02/2021,0,5,2025-03-15
Census Tract,47157000400,Black,03/2021,2,5.25,2025-03-15
Census Tract,47157000400,Black,04/2021,3,4.5,2025-03-15
Census Tract,47157000400,Black,05/2021,2,5.25,2025-03-15
Census Tract,47157000400,Black,06/2021,3,5.5,2025-03-15
Census Tract,47157000400,Black,07/2021,2,5.25,2025-03-15
Census Tract,47157000400,Black,08/2021,6,4.5,2025-03-15
Census Tract,47157000400,Black,09/2021,2,6.25,2025-03-15
Census Tract,47157000400,Black,10/2021,6,6.25,2025-03-15
Census Tract,47157000400,Black,11/2021,6,6.25,2025-03-15
Census Tract,47157000400,Black,12/2021,8,3.5,2025-03-15
Census Tract,47157000400,Black,01/2022,8,7.25,2025-03-15
Census Tract,47157000400,Black,02/2022,2,5,2025-03-15
Census Tract,47157000400,Black,03/2022,7,5.25,2025-03-15
Census Tract,47157000400,Black,04/2022,0,4.5,2025-03-15
Census Tract,47157000400,Black,05/2022,1,5.25,2025-03-15
Census Tract,47157000400,Black,06/2022,4,5.5,2025-03-15
Census Tract,47157000400,Black,07/2022,3,5.25,2025-03-15
Census Tract,47157000400,Black,08/2022,3,4.5,2025-03-15
Census Tract,47157000400,Black,09/2022,1,6.25,2025-03-15
Census Tract,47157000400,Black,10/2022,7,6.25,2025-03-15
Census Tract,47157000400,Black,11/2022,6,6.25,2025-03-15
Census Tract,47157000400,Black,12/2022,2,3.5,2025-03-15
Census Tract,47157000400,Black,01/2023,15,7.25,2025-03-15
Census Tract,47157000400,Black,02/2023,3,5,2025-03-15
Census Tract,47157000400,Black,03/2023,7,5.25,2025-03-15
Census Tract,47157000400,Black,04/2023,6,4.5,2025-03-15
Census Tract,47157000400,Black,05/2023,11,5.25,2025-03-15
Census Tract,47157000400,Black,06/2023,12,5.5,2025-03-15
Census Tract,47157000400,Black,07/2023,2,5.25,2025-03-15
Census Tract,47157000400,Black,08/2023,11,4.5,2025-03-15
Census Tract,47157000400,Black,09/2023,3,6.25,2025-03-15
Census Tract,47157000400,Black,10/2023,7,6.25,2025-03-15
Census Tract,47157000400,Black,11/2023,8,6.25,2025-03-15
Census Tract,47157000400,Black,12/2023,7,3.5,2025-03-15
Census Tract,47157000400,Black,01/2024,6,7.25,2025-03-15
Census Tract,47157000400,Black,02/2024,5,5,2025-03-15
Census Tract,47157000400,Black,03/2024,3,5.25,2025-03-15
Census Tract,47157000400,Black,04/2024,2,4.5,2025-03-15
Census Tract,47157000400,Black,05/2024,5,5.25,2025-03-15
Census Tract,47157000400,Black,06/2024,6,5.5,2025-03-15
Census Tract,47157000400,Black,07/2024,9,5.25,2025-03-15
Census Tract,47157000400,Black,08/2024,3,4.5,2025-03-15
Census Tract,47157000400,Black,09/2024,9,6.25,2025-03-15
Census Tract,47157000400,Black,10/2024,3,6.25,2025-03-15
Census Tract,47157000400,Black,11/2024,9,6.25,2025-03-15
Census Tract,47157000400,Black,12/2024,2,3.5,2025-03-15
Census Tract,47157000400,Black,01/2025,5,7.25,2025-03-15
Census Tract,47157000400,Black,02/2025,8,5,2025-03-15
Census Tract,47157000400,Black,03/2025,3,3.25,2025-03-15
Census Tract,47157000600,Black,01/2020,4,4.75,2025-03-15
Census Tract,47157000600,Black,02/2020,0,3.75,2025-03-15
Census Tract,47157000600,Black,03/2020,1,2.5,2025-03-15
Census Tract,47157000600,Black,04/2020,1,2.5,2025-03-15
Census Tract,47157000600,Black,05/2020,0,2.5,2025-03-15
Census Tract,47157000600,Black,06/2020,0,3.75,2025-03-15
Census Tract,47157000600,Black,07/2020,4,3.5,2025-03-15
Census Tract,47157000600,Black,08/2020,1,3.75,2025-03-15
Census Tract,47157000600,Black,09/2020,3,4.5,2025-03-15
Census Tract,47157000600,Black,10/2020,4,3.5,2025-03-15
Census Tract,47157000600,Black,11/2020,3,2.75,2025-03-15
Census Tract,47157000600,Black,12/2020,3,2,2025-03-15
Census Tract,47157000600,Black,01/2021,4,4.75,2025-03-15
Census Tract,47157000600,Black,02/2021,0,3.75,2025-03-15
Census Tract,47157000600,Black,03/2021,0,2.5,2025-03-15
Census Tract,47157000600,Black,04/2021,1,2.5,2025-03-15
Census Tract,47157000600,Black,05/2021,1,2.5,2025-03-15
Census Tract,47157000600,Black,06/2021,4,3.75,2025-03-15
Census Tract,47157000600,Black,07/2021,1,3.5,2025-03-15
Census Tract,47157000600,Black,08/2021,3,3.75,2025-03-15
Census Tract,47157000600,Black,09/2021,3,4.5,2025-03-15
Census Tract,47157000600,Black,10/2021,3,3.5,2025-03-15
Census Tract,47157000600,Black,11/2021,3,2.75,2025-03-15
Census Tract,47157000600,Black,12/2021,4,2,2025-03-15
Census Tract,47157000600,Black,01/2022,4,4.75,2025-03-15
Census Tract,47157000600,Black,02/2022,1,3.75,2025-03-15
Census Tract,47157000600,Black,03/2022,5,2.5,2025-03-15
Census Tract,47157000600,Black,04/2022,2,2.5,2025-03-15
Census Tract,47157000600,Black,05/2022,1,2.5,2025-03-15
Census Tract,47157000600,Black,06/2022,2,3.75,2025-03-15
Census Tract,47157000600,Black,07/2022,2,3.5,2025-03-15
Census Tract,47157000600,Black,08/2022,3,3.75,2025-03-15
Census Tract,47157000600,Black,09/2022,7,4.5,2025-03-15
Census Tract,47157000600,Black,10/2022,8,3.5,2025-03-15
Census Tract,47157000600,Black,11/2022,4,2.75,2025-03-15
Census Tract,47157000600,Black,12/2022,3,2,2025-03-15
Census Tract,47157000600,Black,01/2023,4,4.75,2025-03-15
Census Tract,47157000600,Black,02/2023,3,3.75,2025-03-15
Census Tract,47157000600,Black,03/2023,1,2.5,2025-03-15
Census Tract,47157000600,Black,04/2023,4,2.5,2025-03-15
Census Tract,47157000600,Black,05/2023,6,2.5,2025-03-15
Census Tract,47157000600,Black,06/2023,1,3.75,2025-03-15
