type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,48113000401,Other,05/2020,0,12.5,2025-03-08
Census Tract,48113000401,Other,06/2020,5,8,2025-03-08
Census Tract,48113000401,Other,07/2020,2,12,2025-03-08
Census Tract,48113000401,Other,08/2020,0,11,2025-03-08
Census Tract,48113000401,Other,09/2020,5,11,2025-03-08
Census Tract,48113000401,Other,10/2020,0,13,2025-03-08
Census Tract,48113000401,Other,11/2020,5,6.5,2025-03-08
Census Tract,48113000401,Other,12/2020,5,13,2025-03-08
Census Tract,48113000401,Other,01/2021,0,13,2025-03-08
Census Tract,48113000401,Other,02/2021,0,21.5,2025-03-08
Census Tract,48113000401,Other,03/2021,9,8,2025-03-08
Census Tract,48113000401,Other,04/2021,2,18.5,2025-03-08
Census Tract,48113000401,Other,05/2021,4,12.5,2025-03-08
Census Tract,48113000401,Other,06/2021,3,8,2025-03-08
Census Tract,48113000401,Other,07/2021,6,12,2025-03-08
Census Tract,48113000401,Other,08/2021,6,11,2025-03-08
Census Tract,48113000401,Other,09/2021,2,11,2025-03-08
Census Tract,48113000401,Other,10/2021,8,13,2025-03-08
Census Tract,48113000401,Other,11/2021,4,6.5,2025-03-08
Census Tract,48113000401,Other,12/2021,11,13,2025-03-08
Census Tract,48113000401,Other,01/2022,7,13,2025-03-08
Census Tract,48113000401,Other,02/2022,9,21.5,2025-03-08
Census Tract,48113000401,Other,03/2022,11,8,2025-03-08
Census Tract,48113000401,Other,04/2022,22,18.5,2025-03-08
Census Tract,48113000401,Other,05/2022,5,12.5,2025-03-08
Census Tract,48113000401,Other,06/2022,10,8,2025-03-08
Census Tract,48113000401,Other,07/2022,7,12,2025-03-08
Census Tract,48113000401,Other,08/2022,1,11,2025-03-08
Census Tract,48113000401,Other,09/2022,9,11,2025-03-08
Census Tract,48113000401,Other,10/2022,11,13,2025-03-08
Census Tract,48113000401,Other,11/2022,27,6.5,2025-03-08
Census Tract,48113000401,Other,12/2022,8,13,2025-03-08
Census Tract,48113000401,Other,01/2023,13,13,2025-03-08
Census Tract,48113000401,Other,02/2023,27,21.5,2025-03-08
Census Tract,48113000401,Other,03/2023,9,8,2025-03-08
Census Tract,48113000401,Other,04/2023,11,18.5,2025-03-08
Census Tract,48113000401,Other,05/2023,6,12.5,2025-03-08
Census Tract,48113000401,Other,06/2023,4,8,2025-03-08
Census Tract,48113000401,Other,07/2023,11,12,2025-03-08
Census Tract,48113000401,Other,08/2023,11,11,2025-03-08
Census Tract,48113000401,Other,09/2023,5,11,2025-03-08
Census Tract,48113000401,Other,10/2023,18,13,2025-03-08
Census Tract,48113000401,Other,11/2023,7,6.5,2025-03-08
Census Tract,48113000401,Other,12/2023,13,13,2025-03-08
Census Tract,48113000401,Other,01/2024,13,13,2025-03-08
Census Tract,48113000401,Other,02/2024,16,21.5,2025-03-08
