type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,45045000500,Other,03/2025,0,1.5,2.5,
Census Tract,45045000500,Other,04/2025,4,2,4,
Census Tract,45045000500,Other,05/2025,4,9,2.75,
Census Tract,45045000500,Other,06/2025,8,3,4,
Census Tract,45045000500,Other,07/2025,1,3,3.25,
Census Tract,45045000500,Other,08/2025,0,5,6.25,
Census Tract,45045000500,Other,09/2025,0,3,3.5,
Census Tract,45045000500,Other,10/2025,3,4.5,5.5,
Census Tract,45045000500,Other,11/2025,0,2,2.5,2025-11-15
Census Tract,45045000700,White,01/2020,10,8.5,14,
Census Tract,45045000700,White,02/2020,4,5,9,
Census Tract,45045000700,White,03/2020,6,6,8.75,
Census Tract,45045000700,White,04/2020,0,6,10.25,
Census Tract,45045000700,White,05/2020,3,7,9.5,
Census Tract,45045000700,White,06/2020,4,7,9.5,
Census Tract,45045000700,White,07/2020,5,7,11,
Census Tract,45045000700,White,08/2020,1,6,10.75,
Census Tract,45045000700,White,09/2020,3,6.5,10.5,
Census Tract,45045000700,White,10/2020,1,3.5,10.5,
Census Tract,45045000700,White,11/2020,6,2.5,7,
Census Tract,45045000700,White,12/2020,9,7,8.5,
Census Tract,45045000700,White,01/2021,7,8.5,14,
Census Tract,45045000700,White,02/2021,4,5,9,
Census Tract,45045000700,White,03/2021,3,6,8.75,
Census Tract,45045000700,White,04/2021,1,6,10.25,
Census Tract,45045000700,White,05/2021,5,7,9.5,
Census Tract,45045000700,White,06/2021,4,7,9.5,
Census Tract,45045000700,White,07/2021,4,7,11,
Census Tract,45045000700,White,08/2021,3,6,10.75,
Census Tract,45045000700,White,09/2021,10,6.5,10.5,
Census Tract,45045000700,White,10/2021,9,3.5,10.5,
Census Tract,45045000700,White,11/2021,5,2.5,7,
Census Tract,45045000700,White,12/2021,7,7,8.5,
Census Tract,45045000700,White,01/2022,5,8.5,14,
Census Tract,45045000700,White,02/2022,7,5,9,
Census Tract,45045000700,White,03/2022,3,6,8.75,
Census Tract,45045000700,White,04/2022,4,6,10.25,
Census Tract,45045000700,White,05/2022,8,7,9.5,
Census Tract,45045000700,White,06/2022,5,7,9.5,
Census Tract,45045000700,White,07/2022,9,7,11,
Census Tract,45045000700,White,08/2022,3,6,10.75,
Census Tract,45045000700,White,09/2022,4,6.5,10.5,
Census Tract,45045000700,White,10/2022,6,3.5,10.5,
Census Tract,45045000700,White,11/2022,3,2.5,7,
Census Tract,45045000700,White,12/2022,9,7,8.5,
Census Tract,45045000700,White,01/2023,9,8.5,14,
Census Tract,45045000700,White,02/2023,9,5,9,
Census Tract,45045000700,White,03/2023,6,6,8.75,
Census Tract,45045000700,White,04/2023,7,6,10.25,
Census Tract,45045000700,White,05/2023,10,7,9.5,
Census Tract,45045000700,White,06/2023,8,7,9.5,
Census Tract,45045000700,White,07/2023,7,7,11,
Census Tract,45045000700,White,08/2023,7,6,10.75,
Census Tract,45045000700,White,09/2023,6,6.5,10.5,
Census Tract,45045000700,White,10/2023,4,3.5,10.5,
Census Tract,45045000700,White,11/2023,3,2.5,7,
Census Tract,45045000700,White,12/2023,5,7,8.5,
Census Tract,45045000700,White,01/2024,8,8.5,14,
Census Tract,45045000700,White,02/2024,1,5,9,
Census Tract,45045000700,White,03/2024,6,6,8.75,
Census Tract,45045000700,White,04/2024,5,6,10.25,
Census Tract,45045000700,White,05/2024,4,7,9.5,
Census Tract,45045000700,White,06/2024,6,7,9.5,
Census Tract,45045000700,White,07/2024,7,7,11,
Census Tract,45045000700,White,08/2024,5,6,10.75,
Census Tract,45045000700,White,09/2024,7,6.5,10.5,
Census Tract,45045000700,White,10/2024,3,3.5,10.5,
Census Tract,45045000700,White,11/2024,2,2.5,7,
Census Tract,45045000700,White,12/2024,9,7,8.5,
Census Tract,45045000700,White,01/2025,4,8.5,14,
Census Tract,45045000700,White,02/2025,2,5,9,
Census Tract,45045000700,White,03/2025,6,6,8.75,
Census Tract,45045000700,White,04/2025,9,6,10.25,
Census Tract,45045000700,White,05/2025,9,7,9.5,
Census Tract,45045000700,White,06/2025,5,7,9.5,
Census Tract,45045000700,White,07/2025,6,7,11,
Census Tract,45045000700,White,08/2025,0,6,10.75,
Census Tract,45045000700,White,09/2025,5,6.5,10.5,
Census Tract,45045000700,White,10/2025,3,3.5,10.5,
Census Tract,45045000700,White,11/2025,0,0.5,4.5,2025-11-15
Census Tract,45045000800,Black,01/2020,18,6,11.5,
Census Tract,45045000800,Black,02/2020,5,3.5,7.5,
Census Tract,45045000800,Black,03/2020,5,2,7,
Census Tract,45045000800,Black,04/2020,0,5,8.75,
Census Tract,45045000800,Black,05/2020,0,3,6,
Census Tract,45045000800,Black,06/2020,3,5,7.5,
Census Tract,45045000800,Black,07/2020,3,3.5,8.75,
Census Tract,45045000800,Black,08/2020,4,3,8.5,
Census Tract,45045000800,Black,09/2020,10,3,8.25,
Census Tract,45045000800,Black,10/2020,6,4.5,7,
Census Tract,45045000800,Black,11/2020,2,3.5,6.75,
Census Tract,45045000800,Black,12/2020,4,4,7,
Census Tract,45045000800,Black,01/2021,7,6,11.5,
Census Tract,45045000800,Black,02/2021,3,3.5,7.5,
