type,GEOID,racial_majority,xfilemonth,xfileyear,month_filings,filings_avg,last_updated
County,09007,White,5,2021,21,42.3333333333333,2023-04-08
County,09007,White,6,2021,20,46.3333333333333,2023-04-08
County,09007,White,7,2021,14,49.6666666666667,2023-04-08
County,09007,White,8,2021,6,49.3333333333333,2023-04-08
County,09007,White,9,2021,19,40,2023-04-08
County,09007,White,10,2021,14,52.6666666666667,2023-04-08
County,09007,White,11,2021,39,37.3333333333333,2023-04-08
County,09007,White,12,2021,35,34.6666666666667,2023-04-08
County,09007,White,1,2022,28,42.3333333333333,2023-04-08
County,09007,White,2,2022,27,34,2023-04-08
County,09007,White,3,2022,57,35.3333333333333,2023-04-08
County,09007,White,4,2022,45,30.3333333333333,2023-04-08
County,09007,White,5,2022,38,42.3333333333333,2023-04-08
County,09007,White,6,2022,65,46.3333333333333,2023-04-08
County,09007,White,7,2022,69,49.6666666666667,2023-04-08
County,09007,White,8,2022,54,49.3333333333333,2023-04-08
County,09007,White,9,2022,51,40,2023-04-08
County,09007,White,10,2022,50,52.6666666666667,2023-04-08
County,09007,White,11,2022,54,37.3333333333333,2023-04-08
County,09007,White,12,2022,39,34.6666666666667,2023-04-08
County,09007,White,1,2023,39,42.3333333333333,2023-04-08
County,09007,White,2,2023,53,34,2023-04-08
County,09007,White,3,2023,34,35.3333333333333,2023-04-08
County,09007,White,4,2023,4,10.3333333333333,2023-04-08
County,09009,White,1,2020,551,552,2023-04-08
County,09009,White,2,2020,430,481.333333333333,2023-04-08
County,09009,White,3,2020,382,454.666666666667,2023-04-08
County,09009,White,4,2020,47,375,2023-04-08
County,09009,White,5,2020,5,486.333333333333,2023-04-08
County,09009,White,6,2020,7,527.333333333333,2023-04-08
County,09009,White,7,2020,37,569.333333333333,2023-04-08
County,09009,White,8,2020,34,588,2023-04-08
County,09009,White,9,2020,46,533,2023-04-08
County,09009,White,10,2020,67,578.666666666667,2023-04-08
County,09009,White,11,2020,134,508.666666666667,2023-04-08
County,09009,White,12,2020,186,460.666666666667,2023-04-08
County,09009,White,1,2021,176,552,2023-04-08
County,09009,White,2,2021,196,481.333333333333,2023-04-08
County,09009,White,3,2021,255,454.666666666667,2023-04-08
County,09009,White,4,2021,235,375,2023-04-08
County,09009,White,5,2021,177,486.333333333333,2023-04-08
County,09009,White,6,2021,205,527.333333333333,2023-04-08
County,09009,White,7,2021,109,569.333333333333,2023-04-08
County,09009,White,8,2021,130,588,2023-04-08
County,09009,White,9,2021,296,533,2023-04-08
County,09009,White,10,2021,249,578.666666666667,2023-04-08
County,09009,White,11,2021,321,508.666666666667,2023-04-08
County,09009,White,12,2021,351,460.666666666667,2023-04-08
County,09009,White,1,2022,372,552,2023-04-08
County,09009,White,2,2022,362,481.333333333333,2023-04-08
County,09009,White,3,2022,797,454.666666666667,2023-04-08
County,09009,White,4,2022,661,375,2023-04-08
County,09009,White,5,2022,600,486.333333333333,2023-04-08
County,09009,White,6,2022,612,527.333333333333,2023-04-08
County,09009,White,7,2022,639,569.333333333333,2023-04-08
County,09009,White,8,2022,637,588,2023-04-08
County,09009,White,9,2022,547,533,2023-04-08
County,09009,White,10,2022,537,578.666666666667,2023-04-08
County,09009,White,11,2022,527,508.666666666667,2023-04-08
County,09009,White,12,2022,461,460.666666666667,2023-04-08
County,09009,White,1,2023,530,552,2023-04-08
County,09009,White,2,2023,490,481.333333333333,2023-04-08
County,09009,White,3,2023,490,454.666666666667,2023-04-08
County,09009,White,4,2023,93,103,2023-04-08
County,09011,White,1,2020,124,136,2023-04-08
County,09011,White,2,2020,82,110.333333333333,2023-04-08
County,09011,White,3,2020,75,122.333333333333,2023-04-08
County,09011,White,4,2020,15,102.333333333333,2023-04-08
County,09011,White,5,2020,2,125.666666666667,2023-04-08
County,09011,White,6,2020,3,135.666666666667,2023-04-08
County,09011,White,7,2020,20,138.666666666667,2023-04-08
County,09011,White,8,2020,17,153,2023-04-08
County,09011,White,9,2020,20,122.333333333333,2023-04-08
County,09011,White,10,2020,26,149.333333333333,2023-04-08
County,09011,White,11,2020,40,106.666666666667,2023-04-08
County,09011,White,12,2020,46,109,2023-04-08
County,09011,White,1,2021,37,136,2023-04-08
County,09011,White,2,2021,57,110.333333333333,2023-04-08
County,09011,White,3,2021,90,122.333333333333,2023-04-08
County,09011,White,4,2021,44,102.333333333333,2023-04-08
County,09011,White,5,2021,35,125.666666666667,2023-04-08
County,09011,White,6,2021,51,135.666666666667,2023-04-08
County,09011,White,7,2021,23,138.666666666667,2023-04-08
County,09011,White,8,2021,55,153,2023-04-08
County,09011,White,9,2021,83,122.333333333333,2023-04-08
County,09011,White,10,2021,81,149.333333333333,2023-04-08
County,09011,White,11,2021,103,106.666666666667,2023-04-08
County,09011,White,12,2021,104,109,2023-04-08
County,09011,White,1,2022,99,136,2023-04-08
County,09011,White,2,2022,91,110.333333333333,2023-04-08
County,09011,White,3,2022,189,122.333333333333,2023-04-08
County,09011,White,4,2022,165,102.333333333333,2023-04-08
County,09011,White,5,2022,164,125.666666666667,2023-04-08
County,09011,White,6,2022,147,135.666666666667,2023-04-08
County,09011,White,7,2022,144,138.666666666667,2023-04-08
County,09011,White,8,2022,148,153,2023-04-08
County,09011,White,9,2022,151,122.333333333333,2023-04-08
County,09011,White,10,2022,136,149.333333333333,2023-04-08
County,09011,White,11,2022,120,106.666666666667,2023-04-08
County,09011,White,12,2022,111,109,2023-04-08
County,09011,White,1,2023,120,136,2023-04-08
County,09011,White,2,2023,125,110.333333333333,2023-04-08
County,09011,White,3,2023,141,122.333333333333,2023-04-08
County,09011,White,4,2023,22,33.3333333333333,2023-04-08
County,09013,White,1,2020,33,30,2023-04-08
County,09013,White,2,2020,39,28.6666666666667,2023-04-08
County,09013,White,3,2020,29,26,2023-04-08
County,09013,White,4,2020,3,26,2023-04-08
County,09013,White,5,2020,1,26,2023-04-08
County,09013,White,6,2020,0,28,2023-04-08
