type,xcourtcofips,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,12086,12086000504,Latinx,05/2021,1,1.66666666666667,2024-03-30
Census Tract,12086,12086000504,Latinx,08/2021,1,1,2024-03-30
Census Tract,12086,12086000504,Latinx,09/2021,1,0.833333333333333,2024-03-30
Census Tract,12086,12086000504,Latinx,10/2021,1,1.5,2024-03-30
Census Tract,12086,12086000504,Latinx,02/2022,1,1.16666666666667,2024-03-30
Census Tract,12086,12086000504,Latinx,08/2022,1,1,2024-03-30
Census Tract,12086,12086000504,Latinx,11/2022,2,1.33333333333333,2024-03-30
Census Tract,12086,12086000504,Latinx,01/2023,1,2.33333333333333,2024-03-30
Census Tract,12086,12086000504,Latinx,03/2023,1,1.16666666666667,2024-03-30
Census Tract,12086,12086000504,Latinx,04/2023,1,1.33333333333333,2024-03-30
Census Tract,12086,12086000504,Latinx,08/2023,1,1,2024-03-30
Census Tract,12086,12086000504,Latinx,09/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086000504,Latinx,12/2023,2,1.83333333333333,2024-03-30
Census Tract,12086,12086000505,Latinx,11/2021,1,1,2024-03-30
Census Tract,12086,12086000505,Latinx,10/2022,2,1.33333333333333,2024-03-30
Census Tract,12086,12086000506,Black,09/2022,1,0.833333333333333,2024-03-30
Census Tract,12086,12086000506,Black,07/2023,1,0.666666666666667,2024-03-30
Census Tract,12086,12086000507,Other,01/2023,2,2.5,2024-03-30
Census Tract,12086,12086000507,Other,04/2023,1,2,2024-03-30
Census Tract,12086,12086000507,Other,11/2023,1,2,2024-03-30
Census Tract,12086,12086000508,Black,01/2023,1,6.5,2024-03-30
Census Tract,12086,12086000509,Other,01/2021,1,2.5,2024-03-30
Census Tract,12086,12086000509,Other,11/2021,1,2.83333333333333,2024-03-30
Census Tract,12086,12086000509,Other,12/2022,1,2.33333333333333,2024-03-30
Census Tract,12086,12086000509,Other,03/2023,1,3.33333333333333,2024-03-30
Census Tract,12086,12086000509,Other,07/2023,2,4.5,2024-03-30
Census Tract,12086,12086000601,Latinx,04/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086000601,Latinx,07/2023,1,0.5,2024-03-30
Census Tract,12086,12086000602,Latinx,10/2022,1,0.833333333333333,2024-03-30
Census Tract,12086,12086000602,Latinx,01/2023,1,0.5,2024-03-30
Census Tract,12086,12086000602,Latinx,08/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086000603,Latinx,04/2023,1,0.166666666666667,2024-03-30
Census Tract,12086,12086000603,Latinx,12/2023,1,0.666666666666667,2024-03-30
Census Tract,12086,12086000605,Latinx,08/2023,1,1.16666666666667,2024-03-30
Census Tract,12086,12086000605,Latinx,10/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086000607,Latinx,08/2023,1,0.666666666666667,2024-03-30
Census Tract,12086,12086000609,Latinx,11/2022,1,1.66666666666667,2024-03-30
Census Tract,12086,12086000609,Latinx,08/2023,1,1.33333333333333,2024-03-30
Census Tract,12086,12086000611,Latinx,01/2023,1,1,2024-03-30
Census Tract,12086,12086000705,Latinx,11/2022,1,0.5,2024-03-30
Census Tract,12086,12086000712,Latinx,01/2023,1,2.33333333333333,2024-03-30
Census Tract,12086,12086000714,Latinx,09/2023,1,2.5,2024-03-30
Census Tract,12086,12086000716,Latinx,05/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086000717,Latinx,12/2022,1,0.333333333333333,2024-03-30
Census Tract,12086,12086000718,Latinx,10/2023,1,1.66666666666667,2024-03-30
Census Tract,12086,12086000720,Latinx,10/2023,1,0,2024-03-30
Census Tract,12086,12086000804,Latinx,01/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086000804,Latinx,08/2023,1,1,2024-03-30
Census Tract,12086,12086000804,Latinx,12/2023,1,1.16666666666667,2024-03-30
Census Tract,12086,12086000805,Latinx,11/2022,1,0.666666666666667,2024-03-30
Census Tract,12086,12086000805,Latinx,08/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086000808,Latinx,04/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086000904,Latinx,02/2024,1,1,2024-03-30
