type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,51001,White,143,2022-09-18,3,5,2023-04-08
County,51001,White,144,2022-09-25,0,2,2023-04-08
County,51001,White,145,2022-10-02,3,3.75,2023-04-08
County,51001,White,146,2022-10-09,4,3.75,2023-04-08
County,51001,White,147,2022-10-16,4,8,2023-04-08
County,51001,White,148,2022-10-23,2,5.25,2023-04-08
County,51001,White,149,2022-10-30,6,2,2023-04-08
County,51001,White,150,2022-11-06,3,3.75,2023-04-08
County,51001,White,151,2022-11-13,2,5.5,2023-04-08
County,51001,White,152,2022-11-20,1,3.5,2023-04-08
County,51001,White,153,2022-11-27,0,4.25,2023-04-08
County,51001,White,154,2022-12-04,2,3.25,2023-04-08
County,51001,White,155,2022-12-11,9,2,2023-04-08
County,51001,White,156,2022-12-18,2,4,2023-04-08
County,51001,White,157,2022-12-25,0,2.25,2023-04-08
County,51001,White,158,2023-01-01,9,3.75,2023-04-08
County,51001,White,159,2023-01-08,3,1.75,2023-04-08
County,51001,White,160,2023-01-15,8,3.5,2023-04-08
County,51001,White,161,2023-01-22,5,4.75,2023-04-08
County,51001,White,162,2023-01-29,2,2.75,2023-04-08
County,51001,White,163,2023-02-05,13,4.5,2023-04-08
County,51001,White,164,2023-02-12,2,3.25,2023-04-08
County,51001,White,165,2023-02-19,4,4,2023-04-08
County,51001,White,166,2023-02-26,1,4.25,2023-04-08
County,51001,White,167,2023-03-05,2,5,2023-04-08
County,51001,White,168,2023-03-12,5,2,2023-04-08
County,51001,White,169,2023-03-19,5,4.75,2023-04-08
County,51001,White,170,2023-03-26,3,3.75,2023-04-08
County,51001,White,171,2023-04-02,8,1.25,2023-04-08
County,51003,White,1,2019-12-29,4,1.25,2023-04-08
County,51003,White,2,2020-01-05,1,3.75,2023-04-08
County,51003,White,3,2020-01-12,39,44.25,2023-04-08
County,51003,White,4,2020-01-19,71,61,2023-04-08
County,51003,White,5,2020-01-26,14,17.5,2023-04-08
County,51003,White,6,2020-02-02,11,3.25,2023-04-08
County,51003,White,7,2020-02-09,18,25,2023-04-08
County,51003,White,8,2020-02-16,74,53,2023-04-08
County,51003,White,9,2020-02-23,19,29.25,2023-04-08
County,51003,White,10,2020-03-01,3,4.25,2023-04-08
County,51003,White,11,2020-03-08,40,9.75,2023-04-08
County,51003,White,12,2020-03-15,0,46.5,2023-04-08
County,51003,White,13,2020-03-22,28,31.5,2023-04-08
County,51003,White,14,2020-03-29,2,4,2023-04-08
County,51003,White,15,2020-04-05,0,6.25,2023-04-08
County,51003,White,16,2020-04-12,0,39,2023-04-08
County,51003,White,17,2020-04-19,0,30.75,2023-04-08
County,51003,White,18,2020-04-26,0,10.75,2023-04-08
County,51003,White,19,2020-05-03,0,5.5,2023-04-08
County,51003,White,20,2020-05-10,1,18.75,2023-04-08
County,51003,White,21,2020-05-17,0,56.5,2023-04-08
County,51003,White,22,2020-05-24,0,18.75,2023-04-08
County,51003,White,23,2020-05-31,0,7.5,2023-04-08
County,51003,White,24,2020-06-07,0,6.75,2023-04-08
County,51003,White,25,2020-06-14,0,41.75,2023-04-08
County,51003,White,26,2020-06-21,0,42,2023-04-08
County,51003,White,27,2020-06-28,7,7.5,2023-04-08
County,51003,White,28,2020-07-05,4,5,2023-04-08
County,51003,White,29,2020-07-12,4,28.5,2023-04-08
County,51003,White,30,2020-07-19,29,74.75,2023-04-08
County,51003,White,31,2020-07-26,1,8.75,2023-04-08
County,51003,White,32,2020-08-02,0,4,2023-04-08
County,51003,White,33,2020-08-09,4,11.5,2023-04-08
County,51003,White,34,2020-08-16,7,66.75,2023-04-08
County,51003,White,35,2020-08-23,3,23,2023-04-08
County,51003,White,36,2020-08-30,27,2.75,2023-04-08
County,51003,White,37,2020-09-06,3,11,2023-04-08
County,51003,White,38,2020-09-13,8,31.25,2023-04-08
County,51003,White,39,2020-09-20,1,53.25,2023-04-08
County,51003,White,40,2020-09-27,25,10.75,2023-04-08
County,51003,White,41,2020-10-04,3,3.5,2023-04-08
County,51003,White,42,2020-10-11,7,23.25,2023-04-08
County,51003,White,43,2020-10-18,21,63.75,2023-04-08
County,51003,White,44,2020-10-25,23,12,2023-04-08
County,51003,White,45,2020-11-01,1,2.75,2023-04-08
County,51003,White,46,2020-11-08,6,6.5,2023-04-08
