position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
23,2024-09-01,2025-08-31,THE PARKWAY,3931 BALD EAGLE DR,100,0.329,35.041188,-89.859107
24,2024-09-01,2025-08-31,THE PARK AT NEW CASTLE,3194 KRYSTAL LAKE DR,95,0.329,35.061359,-89.83153
25,2024-09-01,2025-08-31,HICKORY GROVE APARTMENTS,3146 PECAN LAKE DR,92,0.329,35.063109,-89.851447
26,2024-09-01,2025-08-31,STONEBROOK APARTMENTS,6319 CROWN IMPERIAL DR,91,0.329,35.049324,-89.852025
27,2024-09-01,2025-08-31,ENCLAVE AT WOLFCHASE APARTMENTS,8271 N FLETCHER RUN CIR,90,0.329,35.176446,-89.787225
28,2024-09-01,2025-08-31,NEW HORIZON APARTMENTS,3614 WOODFIELD DR,90,0.329,35.050269,-90.002765
29,2024-09-01,2025-08-31,WATERFORD PLACE APARTMENTS,8162 WATERFORD CIR,87,0.329,35.032771,-89.793154
30,2024-09-01,2025-08-31,THE BOWERY APARTMENTS,3401 W VILLAGE GROVE PL,86,0.329,35.055778,-89.853466
31,2024-09-01,2025-08-31,"SUMMIT PARK COMPLEX, LLC",1775 PIPING ROCK DR,85,0.329,35.03379,-90.00452
32,2024-09-01,2025-08-31,CEDAR MILL APARTMENTS,5169 WAYFARER CIR,83,0.329,35.052735,-89.888086
33,2024-09-01,2025-08-31,LINCOLN AT WOLFCHASE APARTMENTS,8313 VARDON LN,81,0.329,35.196751,-89.786016
34,2024-09-01,2025-08-31,MAA DEXTER LAKE,8050 SAG HARBOR CIR,78,0.329,35.165482,-89.794672
35,2024-09-01,2025-08-31,LEGACY ON LYNNFIELD,1418 HICKORY WAY,75,0.329,35.093176,-89.864174
36,2024-09-01,2025-08-31,SUMMER TRACE APARTMENTS,6030 SUMMER TRACE DR,74,0.329,35.176415,-89.861782
37,2024-09-01,2025-08-31,STONEBRIDGE CROSSING APARTMENTS,2820 MORNING LAKE DR,71,0.329,35.202602,-89.758308
38,2024-09-01,2025-08-31,APPLING LAKES APARTMENTS,7443 UNBRIDLE WAY,71,0.329,35.163092,-89.814606
39,2024-09-01,2025-08-31,THE PARK AT PAISLEY,6070 BRAXTON LN,70,0.329,35.058667,-89.860477
40,2024-09-01,2025-08-31,LINK APARTMENTS @ BROAD AVE,2540 BROAD AVE,69,0.329,35.148073,-89.974641
41,2024-09-01,2025-08-31,SUNSHINE CORPORATION AGENT FOR WOODCHASE APARTMENTS LP,2025 AMBERGATE LN,67,0.329,35.18074,-89.794762
42,2024-09-01,2025-08-31,THE PARK AT NEW CASTLE,2873 WATERBURY CV,66,0.329,35.070085,-89.836839
43,2024-09-01,2025-08-31,SUNSHINE CORPORATION AGENT FOR EDGEWATER TERRACE APTS LP,1887 1ST CV,61,0.329,35.177055,-89.871096
44,2024-09-01,2025-08-31,HICKORY POINTE APARTMENTS,2738 HICKORY VILLAS DR,60,0.329,35.073752,-89.868056
45,2024-09-01,2025-08-31,STONERIDGE AT GERMANTOWN FALLS,6935 RED OAKS CIR,60,0.329,35.038047,-89.832372
46,2024-09-01,2025-08-31,"MAKOWSKY RINGEL GREENBERG, LLC",3936 TORREY PINES CIR,58,0.329,35.040934,-89.766968
47,2024-09-01,2025-08-31,"PARKS EDGE BORROWER, LLC",545 KENNELAND CT,58,0.329,35.140033,-89.802318
48,2024-09-01,2025-08-31,HICKORY FARMS APTS,3856 HICKORY FARMS DR,57,0.329,35.043354,-89.856752
49,2024-09-01,2025-08-31,SOUTHWIND ACQUISITIONS LLC,3943 TAMARRON CIR,57,0.329,35.041531,-89.797729
50,2024-09-01,2025-08-31,BRENTWOOD PLACE APARTMENTS,1800 SABLE PL,57,0.329,35.174434,-89.872527
51,2024-09-01,2025-08-31,THE WYNDHAM,3305 MILLEN DR,56,0.329,35.058678,-89.811833
52,2024-09-01,2025-08-31,"MAKOWSKY RINGEL GREENBERG, LLC",550 TECHNO LN,54,0.329,35.143546,-90.04156
53,2024-09-01,2025-08-31,THE NOVA,3503 BLACKBERRY BUSH RD,53,0.329,35.052902,-89.850866
