site_id,serial_share,filings_pandemic,filings_past_year,filings_past_month,filings_pandemic_pct_hist,filings_past_year_pct_hist,filings_past_month_pct_hist,median_rent,renter_hh,hhs_threatened_rate,eviction_filing_rate,site,latest_update
44007,0.19754623044096728,18265,6630,404,0.7626702855055065,1.0510046367851622,0.9104225352112676,1116,108750,0.05171494252873563,0.06096551724137931,providence,2024-01-01
44,0.2031928301358353,23910,8442,529,0.8049746151877938,1.0867102620874312,0.9108126721763086,1142,161721,0.044156293864124015,0.052201012855473315,rhode_island,2024-01-01
55,0.18513375536042476,85096,28042,2074,0.8030222485050755,1.0118595140726487,1.0659585403460663,921,781395,0.03133498422692748,0.03588709935435983,wisconsin,2024-01-01
48453,,21120,9394,688,0.6024789498457194,1.019240506329114,0.8623354919573849,1437,270488,,0.03472982165567419,austin,2024-01-01
47037,,35388,13239,989,0.892689571666414,1.2660015300267748,1.438196800775569,1316,146398,,0.09043156327272231,nashville,2024-01-01
36061,,317195,126137,6690,0.37185306179868616,0.5595147267565654,0.35948414830736164,1640,2177959,,0.057915231645774785,newyork,2024-01-01
42,,319362,114514,8265,0.7343503709554474,1.0005963524202515,1.056601361500847,1036,1571478,,0.07287025335384906,pennsylvania,2024-01-01
04013,,217053,83236,7106,0.8897700608503304,1.3021739402510606,1.3383305710411328,1389,583611,,0.14262239745309804,phoenix,2024-01-01
42003,,32260,13137,1079,0.5754368333085733,0.8898569143034087,0.9782401046495443,972,186277,,0.07052400457383359,pittsburgh,2024-01-01
51760,,45800,20147,1663,0.49610992409409843,0.8300083425169683,0.9245309242529535,1203,87693,,0.2297446774543008,richmond,2024-01-01
51,,318553,136405,10925,0.5152722751457403,0.8389090277304413,0.8504427362070643,1331,1079291,,0.1263838946122964,virginia,2024-01-01
0,,2993429,1076396,69623,0.6866132869676721,0.9608307950211095,0.8591780592013826,,14234219,,0.07844422626703279,all_sites,2024-01-01
